CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
"This data table begins with column headers on row 5 and data cells are A-6 through F-2715      
",,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,71040,26,241,6428.6,5117.6
RADIOLOGY,71040,TC,N/A,247.76,125.07
RADIOLOGY,71040,GLOBL,26,2547.98,1927.4
RADIOLOGY,71060,TOTAL,43,2143.2,1639.22
RADIOLOGY,71060,26,43,1535.12,1152.75
RADIOLOGY,71060,TC,N/A,65,52
RADIOLOGY,71060,GLOBL,N/A,543.08,434.47
RADIOLOGY,71090,TOTAL,231390,6882950.78,5476473.22
RADIOLOGY,71090,26,231354,6880010.52,5474178.63
RADIOLOGY,71090,TC,N/A,133.16,49.25
RADIOLOGY,71090,GLOBL,36,2807.1,2245.34
RADIOLOGY,71100,TOTAL,305928,5346249.06,3924735.95
RADIOLOGY,71100,26,202590,2293408.13,1703297.74
RADIOLOGY,71100,TC,24238,478904.39,346601.7
RADIOLOGY,71100,GLOBL,79100,2573936.54,1874836.51
RADIOLOGY,71101,TOTAL,239157,4585852.01,3341297.83
RADIOLOGY,71101,26,174605,2358782.14,1740826.3
RADIOLOGY,71101,TC,16864,398819.14,286645.38
RADIOLOGY,71101,GLOBL,47688,1828250.73,1313826.15
RADIOLOGY,71110,TOTAL,38591,896594.21,666483.98
RADIOLOGY,71110,26,22431,305295.83,231103.19
RADIOLOGY,71110,TC,3976,100714,74924.53
RADIOLOGY,71110,GLOBL,12184,490584.38,360456.26
RADIOLOGY,71111,TOTAL,27790,752167.33,554239.29
RADIOLOGY,71111,26,17766,285332.74,213946.63
RADIOLOGY,71111,TC,2354,80484.63,59770.83
RADIOLOGY,71111,GLOBL,7670,386349.96,280521.83
RADIOLOGY,71120,TOTAL,16219,258645.76,187971.16
RADIOLOGY,71120,26,11560,118593.9,87277.34
RADIOLOGY,71120,TC,897,18293.84,13209.84
RADIOLOGY,71120,GLOBL,3762,121758.02,87483.98
RADIOLOGY,71130,TOTAL,2631,59002.89,41991.47
RADIOLOGY,71130,26,1419,16195.55,11731.66
RADIOLOGY,71130,TC,167,4011.54,2626.24
RADIOLOGY,71130,GLOBL,1045,38795.8,27633.57
RADIOLOGY,71250,TOTAL,1441779,149247076.54,114913110.25
RADIOLOGY,71250,26,1115303,67156103.2,51839325.76
RADIOLOGY,71250,TC,70415,13319846.65,10207502.26
RADIOLOGY,71250,GLOBL,256061,68771126.69,52866282.23
RADIOLOGY,71260,TOTAL,1876898,180537926.22,139190705.48
RADIOLOGY,71260,26,1540335,98213594.25,75466999.53
RADIOLOGY,71260,TC,114344,21402562.94,16515237.6
RADIOLOGY,71260,GLOBL,222219,60921769.03,47208468.35
RADIOLOGY,71270,TOTAL,172899,26727238.86,20682791.05
RADIOLOGY,71270,26,118919,8352109.96,6410819.75
RADIOLOGY,71270,TC,9486,2488422.72,1936310.4
RADIOLOGY,71270,GLOBL,44494,15886706.18,12335660.9
RADIOLOGY,71275,TOTAL,601041,71053582.18,55110221
RADIOLOGY,71275,26,562649,55376381.57,42845585.82
RADIOLOGY,71275,TC,8640,2741617.42,2150758.62
RADIOLOGY,71275,GLOBL,29752,12935583.19,10113876.56
RADIOLOGY,71550,TOTAL,6243,1322924.85,1032584.22
RADIOLOGY,71550,26,3854,286152.67,222454.78
RADIOLOGY,71550,TC,298,102459.27,79937.14
RADIOLOGY,71550,GLOBL,2091,934312.91,730192.3
RADIOLOGY,71551,TOTAL,277,69983.8,54821.37
RADIOLOGY,71551,26,181,16095.22,12700.34
RADIOLOGY,71551,TC,N/A,1217.67,974.13
