CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2548 ,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
RADIOLOGY,71023,TOTAL,3281,75024.25,57314.570000000007,,,
RADIOLOGY,71030,26,7488,115948.88,86231.72,,,
RADIOLOGY,71030,TC,310,9755.31,6867.17,,,
RADIOLOGY,71030,GLOBL,3037,148079.57999999999,105931.32,,,
RADIOLOGY,71030,TOTAL,10835,273783.77,199030.21,,,
RADIOLOGY,71034,26,543,12634.51,9779.33,,,
RADIOLOGY,71034,TC,N/A,347.54,272.47000000000003,,,
RADIOLOGY,71034,GLOBL,80,7527.12,5646.44,,,
RADIOLOGY,71034,TOTAL,629,20509.169999999998,15698.24,,,
RADIOLOGY,71035,26,103988,968233.54,739637.53,,,
RADIOLOGY,71035,TC,890,24124.85,18002.060000000001,,,
RADIOLOGY,71035,GLOBL,7652,279489.95,213364.67,,,
RADIOLOGY,71035,TOTAL,112530,1271848.3400000001,971004.26,,,
RADIOLOGY,71100,26,165057,1880115.04,1355173.33,,,
RADIOLOGY,71100,TC,23281,496061.66,352794.04,,,
RADIOLOGY,71100,GLOBL,68456,2318179.9700000002,1666091.76,,,
RADIOLOGY,71100,TOTAL,256794,4694356.67,3374059.13,,,
RADIOLOGY,71101,26,212830,2884580.7,2070732.57,,,
RADIOLOGY,71101,TC,19243,500539.38,351145.82,,,
RADIOLOGY,71101,GLOBL,52580,2142300.7200000002,1518020.12,,,
RADIOLOGY,71101,TOTAL,284653,5527420.8000000007,3939898.51,,,
RADIOLOGY,71110,26,19642,273724.59999999998,201028.6,,,
RADIOLOGY,71110,TC,3555,96868.73,69986.19,,,
RADIOLOGY,71110,GLOBL,10366,439102.58,318741.39,,,
RADIOLOGY,71110,TOTAL,33563,809695.90999999992,589756.17999999993,,,
RADIOLOGY,71111,26,21391,350824.45,256847.07,,,
RADIOLOGY,71111,TC,2550,95809.47,69172.649999999994,,,
RADIOLOGY,71111,GLOBL,7455,403409.86,290258.93,,,
RADIOLOGY,71111,TOTAL,31396,850043.78,616278.65,,,
RADIOLOGY,71120,26,10077,104511.57,74673.539999999994,,,
RADIOLOGY,71120,TC,980,20927.04,14227.66,,,
RADIOLOGY,71120,GLOBL,3235,106888.01,76374.509999999995,,,
RADIOLOGY,71120,TOTAL,14292,232326.62,165275.71,,,
RADIOLOGY,71130,26,1313,15079.96,10686.19,,,
RADIOLOGY,71130,TC,171,4482.78,3014.54,,,
RADIOLOGY,71130,GLOBL,894,34757.17,24625.34,,,
RADIOLOGY,71130,TOTAL,2378,54319.91,38326.07,,,
RADIOLOGY,71250,26,1384191,68323044.829999998,51264099.810000002,,,
RADIOLOGY,71250,TC,78097,9471125.0899999999,7011748.9400000004,,,
RADIOLOGY,71250,GLOBL,274280,50134681.960000001,37313100.649999999,,,
RADIOLOGY,71250,TOTAL,1736568,127928851.88,95588949.400000006,,,
RADIOLOGY,71260,26,1480104,82428617.890000001,61682556.530000001,,,
RADIOLOGY,71260,TC,106877,13202594.630000001,9903436.4900000002,,,
RADIOLOGY,71260,GLOBL,182701,35948656.729999997,27121623.16,,,
RADIOLOGY,71260,TOTAL,1769682,131579869.25,98707616.179999992,,,
RADIOLOGY,71270,26,69851,4393631.68,3299916.95,,,
RADIOLOGY,71270,TC,5271,935575.41,708710.15,,,
RADIOLOGY,71270,GLOBL,27921,7260192.96,5493718.0999999996,,,
RADIOLOGY,71270,TOTAL,103043,12589400.050000001,9502345.2000000011,,,
RADIOLOGY,71275,26,829597,79383969.5,59917752.740000002,,,
RADIOLOGY,71275,TC,10143,2490633.3199999998,1906144.3,,,
RADIOLOGY,71275,GLOBL,32888,11584923.58,8868507.8100000005,,,
RADIOLOGY,71275,TOTAL,872628,93459526.399999991,70692404.849999994,,,
RADIOLOGY,71550,26,4039,265342.90000000002,202152.68,,,
RADIOLOGY,71550,TC,379,114436.31,87527.67,,,
RADIOLOGY,71550,GLOBL,1724,665072.26,510885.3,,,
RADIOLOGY,71550,TOTAL,6142,1044851.47,800565.64999999991,,,
RADIOLOGY,71551,26,177,15175.43,11470.54,,,
RADIOLOGY,71551,TC,12,4670.37,3661.6,,,
RADIOLOGY,71551,GLOBL,58,27645.91,20921.55,,,
RADIOLOGY,71551,TOTAL,247,47491.71,36053.69,,,
RADIOLOGY,71552,26,4124,465991.35,351430.41,,,
RADIOLOGY,71552,TC,324,156186.07999999999,119697.74,,,
RADIOLOGY,71552,GLOBL,1867,1152036.28,889481.91,,,
RADIOLOGY,71552,TOTAL,6315,1774213.71,1360610.06,,,
RADIOLOGY,71555,26,5618,482516.2,360961.32,,,
RADIOLOGY,71555,TC,306,101585.52,78925.759999999995,,,
RADIOLOGY,71555,GLOBL,1969,831060.76,637834.77,,,
RADIOLOGY,71555,TOTAL,7893,1415162.48,1077721.8500000001,,,
RADIOLOGY,72010,26,8274,197007.44,146198.35,,,
RADIOLOGY,72010,TC,2087,113098.9,81996.240000000005,,,
RADIOLOGY,72010,GLOBL,22291,1763241.24,1272282.29,,,
RADIOLOGY,72010,TOTAL,32652,2073347.58,1500476.88,,,
RADIOLOGY,72020,26,162597,1277112.97,961059.75,,,
RADIOLOGY,72020,TC,30907,560510.26,430189.09,,,
RADIOLOGY,72020,GLOBL,34380,816230.46,601892.81999999995,,,
RADIOLOGY,72020,TOTAL,227884,2653853.69,1993141.66,,,
RADIOLOGY,72040,26,341812,4114900.76,2991817.06,,,
RADIOLOGY,72040,TC,44645,1062921.98,752307.6,,,
RADIOLOGY,72040,GLOBL,268265,9668562.8900000006,7009488.1200000001,,,
RADIOLOGY,72040,TOTAL,654722,14846385.630000001,10753612.779999999,,,
RADIOLOGY,72050,26,240059,3929095.93,2791080.78,,,
RADIOLOGY,72050,TC,29586,950686.95,662477.69999999995,,,
RADIOLOGY,72050,GLOBL,156972,7811648.4699999997,5592626.1299999999,,,
RADIOLOGY,72050,TOTAL,426617,12691431.35,9046184.6099999994,,,
RADIOLOGY,72052,26,61346,1160661.8700000001,834356.82,,,
RADIOLOGY,72052,TC,7782,331743.39,235094.59,,,
RADIOLOGY,72052,GLOBL,39544,2537215.5299999998,1854999.31,,,
RADIOLOGY,72052,TOTAL,108672,4029620.79,2924450.72,,,
RADIOLOGY,72069,26,19511,240457.98,175428.28,,,
RADIOLOGY,72069,TC,755,19662.490000000002,14063.85,,,
RADIOLOGY,72069,GLOBL,9140,358789.9,262407.51,,,
RADIOLOGY,72069,TOTAL,29406,618910.37,451899.64,,,
RADIOLOGY,72070,26,190137,2175880.5299999998,1595174.99,,,
RADIOLOGY,72070,TC,26561,586973.07999999996,424440.86,,,
RADIOLOGY,72070,GLOBL,124156,4224432.54,3096747,,,
RADIOLOGY,72070,TOTAL,340854,6987286.1500000004,5116362.8499999996,,,
RADIOLOGY,72072,26,166768,1836129.03,1327705.06,,,
RADIOLOGY,72072,TC,12856,331135.42,229094.92,,,
RADIOLOGY,72072,GLOBL,38350,1461165.48,1038260.41,,,
RADIOLOGY,72072,TOTAL,217974,3628429.93,2595060.39,,,
RADIOLOGY,72074,26,13363,148053.26,107823.03999999999,,,
RADIOLOGY,72074,TC,893,29998.02,21830.23,,,
RADIOLOGY,72074,GLOBL,3822,172344.64,124986.3,,,
RADIOLOGY,72074,TOTAL,18078,350395.92,254639.57,,,
