CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18000,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33430,TOTAL,13678,26355237.899999999,20533020.010000002,,,
CARDIOVASCULAR,33460,80S,14,4599.42,3605.95,,,
CARDIOVASCULAR,33460,OTHER,21,44870.84,35178.699999999997,,,
CARDIOVASCULAR,33460,TOTAL,35,49470.259999999987,38784.649999999987,,,
CARDIOVASCULAR,33463,80S,332,148191.10999999999,116120.32000000001,,,
CARDIOVASCULAR,33463,OTHER,513,1578226.25,1235173.76,,,
CARDIOVASCULAR,33463,TOTAL,845,1726417.36,1351294.08,,,
CARDIOVASCULAR,33464,80S,1972,576577.57999999996,451735.92,,,
CARDIOVASCULAR,33464,OTHER,3546,7105019.6200000001,5550859.8200000003,,,
CARDIOVASCULAR,33464,TOTAL,5518,7681597.2000000002,6002595.7400000002,,,
CARDIOVASCULAR,33465,80S,217,79867.05,62409.04,,,
CARDIOVASCULAR,33465,OTHER,432,1094166.06,851945.98,,,
CARDIOVASCULAR,33465,TOTAL,649,1174033.1100000001,914355.02,,,
CARDIOVASCULAR,33468,80S,N/A,681.93,534.63,,,
CARDIOVASCULAR,33468,OTHER,N/A,24250.23,18904.73,,,
CARDIOVASCULAR,33468,TOTAL,11,24932.16,19439.36,,,
CARDIOVASCULAR,33470,OTHER,N/A,0,0,,,
CARDIOVASCULAR,33470,TOTAL,N/A,0,0,,,
CARDIOVASCULAR,33472,OTHER,N/A,705.14,552.83000000000004,,,
CARDIOVASCULAR,33472,TOTAL,N/A,705.14,552.83000000000004,,,
CARDIOVASCULAR,33474,80S,N/A,710.24,556.83000000000004,,,
CARDIOVASCULAR,33474,OTHER,N/A,10205.66,8001.24,,,
CARDIOVASCULAR,33474,TOTAL,N/A,10915.9,8558.07,,,
CARDIOVASCULAR,33475,80S,38,11421.41,8954.3700000000008,,,
CARDIOVASCULAR,33475,OTHER,103,202404.18,153330.14000000001,,,
CARDIOVASCULAR,33475,TOTAL,141,213825.59,162284.51,,,
CARDIOVASCULAR,33476,80S,N/A,895,701.67,,,
CARDIOVASCULAR,33476,OTHER,N/A,6564.44,5031.28,,,
CARDIOVASCULAR,33476,TOTAL,11,7459.44,5732.95,,,
CARDIOVASCULAR,33478,80S,11,1356.76,1063.71,,,
CARDIOVASCULAR,33478,OTHER,32,29200.86,22893.51,,,
CARDIOVASCULAR,33478,TOTAL,43,30557.62,23957.22,,,
CARDIOVASCULAR,33496,80S,27,4800.78,3763.8,,,
