MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"11,323","$315,762.91 ","$234,909.88 "
72100,TC,,"142,323","$3,605,425.58 ","$2,626,446.11 "
,26,,"976,305","$10,315,020.54 ","$7,763,936.21 "
,GLOBL,,"829,320","$30,188,874.03 ","$22,387,041.91 "
,TOTAL,,"1,947,948","$44,109,320.15 ","$32,777,424.23 "
72110,TC,,"65,988","$2,309,885.79 ","$1,647,987.43 "
,26,,"588,922","$8,668,665.50 ","$6,452,472.25 "
,GLOBL,,"371,218","$18,918,408.61 ","$13,917,341.24 "
,TOTAL,,"1,026,128","$29,896,959.90 ","$22,017,800.92 "
72114,TC,,"4,307","$197,785.78 ","$148,119.09 "
,26,,"34,940","$606,077.18 ","$461,073.30 "
,GLOBL,,"54,196","$3,574,071.39 ","$2,714,349.88 "
,TOTAL,,"93,443","$4,377,934.35 ","$3,323,542.27 "
72120,TC,,"2,148","$71,524.75 ","$52,491.85 "
,26,,"9,419","$100,372.47 ","$76,441.60 "
,GLOBL,,"17,646","$832,797.28 ","$629,531.90 "
,TOTAL,,"29,213","$1,004,694.50 ","$758,465.35 "
72125,TC,,"5,602","$978,239.07 ","$762,979.78 "
,26,,"397,323","$22,011,438.09 ","$17,030,195.01 "
,GLOBL,,"29,312","$6,146,168.20 ","$4,791,737.57 "
,TOTAL,,"432,237","$29,135,845.36 ","$22,584,912.36 "
72126,TC,,837,"$193,559.20 ","$151,950.21 "
,26,,"16,536","$949,446.54 ","$737,983.34 "
,GLOBL,,"3,088","$880,962.65 ","$686,407.59 "
,TOTAL,,"20,461","$2,023,968.39 ","$1,576,341.14 "
72127,TC,,111,"$29,491.31 ","$23,402.90 "
,26,,"1,299","$79,004.99 ","$61,138.02 "
,GLOBL,,459,"$154,511.36 ","$121,696.78 "
,TOTAL,,"1,869","$263,007.66 ","$206,237.70 "
72128,TC,,"2,375","$402,271.59 ","$314,977.70 "
,26,,"62,570","$3,455,604.62 ","$2,709,242.42 "
,GLOBL,,"10,011","$2,273,659.85 ","$1,787,271.29 "
,TOTAL,,"74,956","$6,131,536.06 ","$4,811,491.41 "
72129,TC,,187,"$41,571.96 ","$32,984.54 "
,26,,"7,500","$433,742.96 ","$339,784.38 "
,GLOBL,,"1,009","$284,497.51 ","$223,450.72 "
,TOTAL,,"8,696","$759,812.43 ","$596,219.64 "
72130,TC,,67,"$17,180.00 ","$13,329.01 "
,26,,803,"$49,100.32 ","$38,545.67 "
,GLOBL,,291,"$93,530.03 ","$73,572.60 "
