CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2662,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,71035,GLOBL,4892,183595.71,137266.45
RADIOLOGY,71040,TOTAL,316,9853.41,7766.56
RADIOLOGY,71040,26,297,7722.49,6099.63
RADIOLOGY,71040,TC,N/A,126,100.8
RADIOLOGY,71040,GLOBL,19,2004.92,1566.13
RADIOLOGY,71060,TOTAL,62,3017.57,2274.46
RADIOLOGY,71060,26,62,2248.1,1712.26
RADIOLOGY,71060,TC,N/A,347,277.61
RADIOLOGY,71060,GLOBL,N/A,422.47,284.59
RADIOLOGY,71090,TOTAL,218728,6299137.77,5012121.55
RADIOLOGY,71090,26,218679,6295098.57,5008950.86
RADIOLOGY,71090,TC,N/A,90,72
RADIOLOGY,71090,GLOBL,49,3949.2,3098.69
RADIOLOGY,71100,TOTAL,296830.1,5230742.9,3808394.96
RADIOLOGY,71100,26,196122.1,2139139.01,1573641.1
RADIOLOGY,71100,TC,22981,487033.45,348400.15
RADIOLOGY,71100,GLOBL,77727,2604570.44,1886353.71
RADIOLOGY,71101,TOTAL,252760,4929126.7,3568792.47
RADIOLOGY,71101,26,184873,2457050.04,1804270.94
RADIOLOGY,71101,TC,18249,471014.36,336436.73
RADIOLOGY,71101,GLOBL,49638,2001062.3,1428084.8
RADIOLOGY,71110,TOTAL,37323,894430.62,658371.84
RADIOLOGY,71110,26,21900,293223.77,219936.53
RADIOLOGY,71110,TC,3514,97241.04,71153.12
RADIOLOGY,71110,GLOBL,11909,503965.81,367282.19
RADIOLOGY,71111,TOTAL,29092,802119.54,590923.38
RADIOLOGY,71111,26,18840,295276.7,220536.11
RADIOLOGY,71111,TC,2542,94565.25,69639.87
RADIOLOGY,71111,GLOBL,7710,412277.59,300747.4
RADIOLOGY,71120,TOTAL,15996,250997.91,181333.72
RADIOLOGY,71120,26,11623,115200.96,84213.58
RADIOLOGY,71120,TC,896,19563.1,13734.02
RADIOLOGY,71120,GLOBL,3477,116233.85,83386.12
RADIOLOGY,71130,TOTAL,2703,62039.83,43733.12
RADIOLOGY,71130,26,1456,15989.1,11558.9
RADIOLOGY,71130,TC,176,4597.04,3102.53
RADIOLOGY,71130,GLOBL,1071,41453.69,29071.69
RADIOLOGY,71250,TOTAL,1499418.5,140339492.53,107800259.08
RADIOLOGY,71250,26,1173033.5,60641584.86,46649596.88
RADIOLOGY,71250,TC,69535,13159779.71,10081820.16
RADIOLOGY,71250,GLOBL,256850,66538127.96,51068842.04
RADIOLOGY,71260,TOTAL,1858908.3,172534615.56,132534718.95
RADIOLOGY,71260,26,1535346.3,96028690.01,73418184.04
RADIOLOGY,71260,TC,111236,19757399.65,15260980.48
RADIOLOGY,71260,GLOBL,212326,56748525.9,43855554.43
RADIOLOGY,71270,TOTAL,146800,22681144.27,17533837.55
RADIOLOGY,71270,26,99700,6837005.22,5232178.48
RADIOLOGY,71270,TC,8169,2120707.82,1651493.3
RADIOLOGY,71270,GLOBL,38931,13723431.23,10650165.77
RADIOLOGY,71275,TOTAL,680082.2,77384774.23,59830809.74
RADIOLOGY,71275,26,641193.2,61907888.46,47734858
RADIOLOGY,71275,TC,8793,2691317.77,2106008.78
RADIOLOGY,71275,GLOBL,30096,12785568,9989942.96
RADIOLOGY,71550,TOTAL,6067,1234535.54,964293.82
RADIOLOGY,71550,26,3805,275318.63,212916.33
RADIOLOGY,71550,TC,306,103676.21,81456
RADIOLOGY,71550,GLOBL,1956,855540.7,669921.49
RADIOLOGY,71551,TOTAL,292,66692.33,52439.82
RADIOLOGY,71551,26,206,17682.87,13725.06
RADIOLOGY,71551,TC,N/A,772.14,617.71
RADIOLOGY,71551,GLOBL,86,48237.32,38097.05
RADIOLOGY,71552,TOTAL,6071,2017611.44,1579662.46
RADIOLOGY,71552,26,3641,417150.74,323776.88
RADIOLOGY,71552,TC,290,155107.36,120530.2
