Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 50010 - 53899,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
50845,80'S,,14,"$2,522.25 ","$2,017.80 "
,OTHER,,88,"$83,498.64 ","$65,908.63 "
,TOTAL,,102,"$86,020.89 ","$67,926.43 "
50860,80'S,,8,$921.06 ,$736.84 
,OTHER,,28,"$22,832.93 ","$18,266.37 "
,TOTAL,,36,"$23,753.99 ","$19,003.21 "
50900,80'S,,17,"$1,776.37 ","$1,421.10 "
,OTHER,,121,"$72,418.73 ","$57,910.00 "
,TOTAL,,138,"$74,195.10 ","$59,331.10 "
50920,80'S,,1,$65.03 ,$52.02 
,OTHER,,11,"$7,145.07 ","$5,716.05 "
,TOTAL,,12,"$7,210.10 ","$5,768.07 "
50930,80'S,,5,$618.82 ,$495.06 
,OTHER,,11,"$8,696.99 ","$6,957.59 "
,TOTAL,,16,"$9,315.81 ","$7,452.65 "
50940,80'S,,2,$160.52 ,$108.41 
,OTHER,,8,"$4,508.10 ","$3,606.47 "
,TOTAL,,10,"$4,668.62 ","$3,714.88 "
50945,80'S,,2,$317.75 ,$254.20 
,OTHER,,7,"$6,176.97 ","$4,941.56 "
,TOTAL,,9,"$6,494.72 ","$5,195.76 "
50947,SG,,4,"$4,539.95 ","$3,631.95 "
,80'S,,7,"$1,341.04 ","$1,072.82 "
,OTHER,,39,"$46,755.49 ","$36,175.49 "
,TOTAL,,50,"$52,636.48 ","$40,880.26 "
50948,OTHER,,1,$611.31 ,$489.05 
,TOTAL,,1,$611.31 ,$489.05 
50949,80'S,,8,"$1,124.41 ",$762.27 
,OTHER,,36,"$33,813.26 ","$26,952.27 "
,TOTAL,,44,"$34,937.67 ","$27,714.54 "
50951,SG,,14,"$3,687.62 ","$2,950.07 "
,80'S,,2,$50.99 ,$40.79 
,OTHER,,166,"$47,247.11 ","$37,172.22 "
,TOTAL,,182,"$50,985.72 ","$40,163.08 "
50953,SG,,5,"$1,017.26 ",$813.79 
,OTHER,,113,"$36,788.73 ","$28,944.37 "
,TOTAL,,118,"$37,805.99 ","$29,758.16 "
50955,SG,,1,$315.77 ,$252.62 
,OTHER,,43,"$15,227.19 ","$12,181.73 "
,TOTAL,,44,"$15,542.96 ","$12,434.35 "
50957,SG,,1,$323.96 ,$150.00 
,OTHER,,38,"$12,355.95 ","$9,848.53 "
,TOTAL,,39,"$12,679.91 ","$9,998.53 "
50961,SG,,4,$832.47 ,$665.98 
,80'S,,1,$30.22 ,$24.18 
,OTHER,,89,"$25,196.13 ","$20,011.25 "
,TOTAL,,94,"$26,058.82 ","$20,701.41 "
50970,SG,,2,$315.78 ,$252.62 
,80'S,,2,$61.75 ,$49.40 
,OTHER,,23,"$5,379.99 ","$4,303.99 "
,TOTAL,,27,"$5,757.52 ","$4,606.01 "
50972,SG,,1,$334.63 ,$267.70 
,80'S,,1,$28.46 ,$22.77 
,OTHER,,39,"$12,584.03 ","$9,979.17 "
,TOTAL,,41,"$12,947.12 ","$10,269.64 "
50974,OTHER,,7,"$3,053.33 ","$2,442.67 "
,TOTAL,,7,"$3,053.33 ","$2,442.67 "
50976,OTHER,,14,"$6,761.55 ","$5,409.22 "
