Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L0100 - L4398,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L3330,TOTAL,,7,"$2,249.95 ","$1,799.96 "
L3332,TOTAL,,467,"$15,096.65 ","$11,836.41 "
L3334,TOTAL,,327,"$9,819.50 ","$7,698.66 "
L3340,TOTAL,,49,"$2,699.78 ","$2,137.49 "
L3350,TOTAL,,387,"$6,739.88 ","$5,231.68 "
L3360,TOTAL,,145,"$3,960.31 ","$3,168.12 "
L3370,TOTAL,,127,"$4,624.63 ","$3,635.42 "
L3380,TOTAL,,7,$260.76 ,$208.61 
L3390,TOTAL,,532,"$19,861.64 ","$15,713.67 "
L3400,TOTAL,,"1,103","$36,094.01 ","$28,266.77 "
L3410,TOTAL,,140,"$8,064.66 ","$6,259.87 "
L3420,TOTAL,,265,"$10,897.12 ","$8,661.28 "
L3430,TOTAL,,50,"$5,196.78 ","$4,155.02 "
L3440,TOTAL,,59,"$3,036.62 ","$2,398.06 "
L3450,TOTAL,,56,"$3,717.48 ","$2,974.01 "
L3455,TOTAL,,18,$526.60 ,$421.28 
L3460,TOTAL,,190,"$4,030.89 ","$3,082.46 "
L3465,TOTAL,,19,$626.72 ,$501.37 
L3470,TOTAL,,6,$161.00 ,$128.78 
L3480,TOTAL,,58,"$2,407.08 ","$1,917.99 "
L3485,TOTAL,,360,"$7,086.13 ","$5,594.43 "
L3500,TOTAL,,17,$384.30 ,$307.43 
L3510,TOTAL,,174,"$3,850.19 ","$3,003.15 "
L3520,TOTAL,,2,$50.94 ,
L3530,TOTAL,,50,"$1,208.51 ",$966.84 
L3540,TOTAL,,781,"$28,547.98 ","$22,059.87 "
L3550,TOTAL,,58,$321.58 ,$257.27 
L3560,TOTAL,,10,$103.27 ,$82.61 
L3570,TOTAL,,16,$893.03 ,$714.43 
L3580,TOTAL,,906,"$34,732.97 ","$27,240.55 "
L3590,TOTAL,,13,$494.51 ,$395.59 
L3595,TOTAL,,13,$417.74 ,$334.19 
L3600,TOTAL,,479,"$28,097.43 ","$21,378.85 "
L3610,TOTAL,,956,"$75,196.83 ","$57,430.75 "
L3620,TOTAL,,"1,908","$113,806.19 ","$85,271.12 "
L3630,TOTAL,,941,"$73,497.37 ","$55,203.15 "
L3640,TOTAL,,7,$243.57 ,$194.85 
L3649,TOTAL,,534,"$84,243.54 ","$66,927.21 "
L3650,TOTAL,,"14,217","$655,703.26 ","$513,516.28 "
L3651,TOTAL,,"2,220","$88,771.96 ","$69,468.74 "
L3652,TOTAL,,"1,457","$201,291.46 ","$159,716.39 "
L3660,TOTAL,,"11,691","$747,808.59 ","$587,167.68 "
L3670,TOTAL,,"16,542","$1,344,978.43 ","$1,056,831.93 "
L3675,TOTAL,,"2,257","$263,724.12 ","$207,288.67 "
L3677,TOTAL,,9,"$1,797.40 ","$1,437.91 "
L3700,TOTAL,,"13,101","$616,996.89 ","$475,825.46 "
L3701,TOTAL,,"5,160","$74,549.92 ","$57,040.00 "
L3710,TOTAL,,"1,233","$115,580.64 ","$91,163.48 "
L3720,TOTAL,,"1,164","$442,790.83 ","$349,806.77 "
L3730,TOTAL,,"1,227","$737,386.14 ","$585,172.97 "
L3740,TOTAL,,763,"$548,762.62 ","$434,152.85 "
L3760,TOTAL,,"9,877","$3,518,379.40 ","$2,795,346.53 "
L3762,TOTAL,,801,"$53,454.29 ","$41,417.93 "
L3800,TOTAL,,"20,517","$1,989,556.88 ","$1,561,531.51 "
L3805,TOTAL,,"12,395","$2,441,810.01 ","$1,925,462.94 "
L3807,TOTAL,,"42,880","$7,025,621.07 ","$5,508,049.45 "
L3810,TOTAL,,"5,186","$262,928.73 ","$206,264.51 "
L3815,TOTAL,,616,"$28,307.74 ","$21,612.62 "
L3820,TOTAL,,"1,313","$101,286.40 ","$79,979.66 "
L3825,TOTAL,,441,"$22,132.10 ","$17,598.23 "
L3830,TOTAL,,757,"$48,191.20 ","$38,381.45 "
L3835,TOTAL,,179,"$9,331.50 ","$7,286.14 "
L3840,TOTAL,,"1,163","$56,655.74 ","$44,564.13 "
