Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - J0000 - J8499,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
J7110,TOTAL,,26,$242.68 ,$158.13 
J7120,TOTAL,,"79,418","$63,071.66 ","$49,840.66 "
J7130,TOTAL,,"14,228","$17,407.88 ","$13,731.55 "
J7190,TOTAL,,"439,981","$27,791,091.40 ","$22,157,293.38 "
J7191,TOTAL,,12,"$38,233.27 ","$30,586.62 "
J7192,TOTAL,,"643,989","$80,459,363.04 ","$63,985,978.96 "
J7193,TOTAL,,"31,854","$11,791,228.39 ","$9,245,391.95 "
J7194,TOTAL,,"4,731","$861,006.25 ","$688,656.94 "
J7195,TOTAL,,"69,782","$17,886,993.10 ","$14,217,390.10 "
J7197,TOTAL,,"16,607","$38,267.31 ","$30,613.84 "
J7198,TOTAL,,"40,680","$12,042,323.00 ","$9,608,645.69 "
J7199,TOTAL,,6,"$292,866.26 ","$228,247.76 "
J7308,TOTAL,,"14,421","$1,243,538.29 ","$961,967.67 "
J7310,TOTAL,,29,"$4,498.62 ","$3,573.00 "
J7317,TOTAL,,"772,327","$79,156,191.26 ","$62,347,117.23 "
J7320,TOTAL,,"532,471","$105,167,288.46 ","$82,992,659.54 "
J7340,TOTAL,,"56,920","$1,506,720.70 ","$1,201,956.71 "
J7342,TOTAL,,"135,032","$2,061,365.82 ","$1,629,658.30 "
J7343,TOTAL,,"1,834","$9,354.21 ","$7,483.42 "
J7344,TOTAL,,"2,851","$165,321.61 ","$130,423.83 "
J7350,TOTAL,,597,"$2,685.53 ","$2,148.43 "
J7500,TOTAL,,"1,786,855","$360,684.69 ","$277,610.20 "
J7501,TOTAL,,"2,323","$9,295.77 ","$7,402.61 "
J7502,TOTAL,,"6,032,023","$22,226,814.32 ","$17,107,309.95 "
J7504,TOTAL,,"10,947","$3,178,758.77 ","$2,542,926.98 "
J7505,TOTAL,,207,"$3,245.56 ","$1,904.81 "
J7506,TOTAL,,"9,619,356","$1,417,341.53 ","$1,092,022.20 "
J7507,TOTAL,,"46,617,341","$154,366,327.41 ","$117,288,438.11 "
J7509,TOTAL,,"76,419","$5,885.99 ","$4,624.50 "
J7510,TOTAL,,"92,765","$5,563.60 ","$4,282.18 "
J7511,TOTAL,,139,"$41,790.98 ","$33,289.89 "
J7513,TOTAL,,287,"$72,739.81 ","$51,460.14 "
J7515,TOTAL,,"13,587,424","$12,941,122.73 ","$9,966,856.75 "
J7517,TOTAL,,"47,772,984","$119,007,671.43 ","$90,389,696.15 "
J7518,TOTAL,,"2,329,194","$5,197,330.58 ","$3,951,630.51 "
J7520,TOTAL,,"5,930,498","$39,846,517.05 ","$30,502,603.06 "
J7525,TOTAL,,62,"$1,235.62 ",$988.50 
J7599,TOTAL,,"15,749","$65,915.46 ","$48,744.69 "
J7608,TOTAL,,"624,204","$1,290,608.98 ","$1,021,590.62 "
J7611,TOTAL,,"13,894,082","$1,125,090.07 ","$871,205.97 "
J7612,TOTAL,,"316,689","$277,260.16 ","$219,941.23 "
J7613,TOTAL,,"793,694,328","$57,094,453.17 ","$43,901,187.24 "
J7614,TOTAL,,"133,440,096","$176,558,320.84 ","$140,684,112.95 "
J7616,TOTAL,,"117,029,238","$282,826,471.75 ","$224,313,810.64 "
J7617,TOTAL,,"3,747","$4,574.65 ","$3,548.67 "
J7622,TOTAL,,"9,971",$631.93 ,$499.07 
J7624,TOTAL,,"158,945","$109,997.60 ","$87,573.24 "
J7626,TOTAL,,"76,198,390","$230,924,231.10 ","$183,903,104.36 "
J7628,TOTAL,,180,$31.68 ,$25.34 
J7629,TOTAL,,741,$130.82 ,$104.66 
J7631,TOTAL,,"7,088,262","$532,385.54 ","$406,855.03 "
J7633,TOTAL,,"32,593",$696.96 ,$549.47 
J7635,TOTAL,,"6,092",$945.94 ,$745.61 
J7636,TOTAL,,"34,999","$6,474.03 ","$4,922.69 "
J7637,TOTAL,,"40,061","$3,069.43 ","$2,345.35 "
