CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
EVALUATION AND MANAGEMENT,99407,TOTAL,54535,1480316.57,1077429.99,,,
EVALUATION AND MANAGEMENT,99408,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99408,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99409,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99409,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99411,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99411,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99412,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99412,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99420,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99420,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99429,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99429,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99441,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99441,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99442,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99442,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99443,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99443,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99444,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99444,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99446,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99446,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99447,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99447,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99448,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99448,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99449,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99449,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99450,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99450,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99455,,N/A,0,0,,,
